source	target	weight
98468	2877	79.0
98468	2554	88.0
98468	1855	747.5
98468	3166	0.94
98468	2843	0.126
98468	1759	0.0172
98468	2113	0.0
98468	1729	0.0
98468	2480	0.0
98468	1999	0.27
98468	1762	0.0
98468	3072	0.0
98468	2729	0.0
98468	2017	0.0
98468	2458	0.41
98468	2156	0.29
98468	1903	4.27
98468	2055	0.02
98468	2863	0.018
98468	2532	0.0
98468	2335	17.7
98468	2748	0.0027
98468	1805	3.0
98468	1980	0.0
98468	2342	0.0
98468	1728	0.0
98468	3246	0.0
98468	1791	0.0
98468	2173	0.0
97362	3209	8900.0
97362	1837	0.0
97362	1813	0.0
97362	3163	0.0
97362	2113	0.239
97362	1729	0.0
97362	1762	0.00038
97362	2781	0.0
97362	1780	0.0
97362	1999	0.65
97362	2748	0.0
97362	2730	0.052
97362	2156	0.14
97362	1903	2.6
97362	2055	0.0
97362	1968	0.69
97362	3257	0.0
97362	2863	0.0032
97362	2532	0.0018
97362	2017	0.0
97362	1855	100.0
97362	2554	223.0
97362	2082	13.0
97362	2877	253.0
97362	2006	1.32
97362	2843	0.1
97362	3166	0.52
97362	3030	0.26
97362	3126	0.02
97362	2396	0.0005
97362	1759	0.0336
97362	2755	0.0
97362	2310	0.0
97362	2620	0.0
97362	2658	0.0
97362	2024	0.0
97362	2643	0.0
97362	3239	0.0
97362	1980	0.0
97362	2342	0.0
97362	1728	0.0
97362	3246	0.0
97362	2674	0.0
97362	2630	0.0
97362	3183	0.0
97362	2846	0.0
97362	3190	0.0
97362	2897	0.0
97362	2416	0.0
97362	3112	0.0
97362	1914	0.0
97362	1767	0.0
97362	2269	0.0
97362	2173	0.0
97362	1791	0.0
97362	1805	52.0
98600	2033	0.0
98600	3100	3.0
98600	2719	1.5
98600	2339	0.0
98600	1757	0.0
98600	2700	0.0
98600	2942	5.150000095
98600	3268	3.75
98600	3211	6.0
98600	1830	10.699999809
98600	2372	5.75
98600	1789	599.0
98600	2094	5.199999809
98600	2484	7.75
98600	1984	12.5
98600	1719	10.0
98600	3275	9.5
98600	2612	0.0
98600	2247	0.2
98600	3249	0.005
98600	3186	1.0
98600	3077	3.8
